,,,,,,,,,,,,,,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,OG,Matches
1,Issah Abbas,gh GHA,"DF,FW",Mainz 05,22-227,1998,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
2,David Abraham,ar ARG,DF,Eint Frankfurt,34-300,1986,13.6,2,0.15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
3,Amir Abrashi,al ALB,MF,Freiburg,31-045,1990,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
4,Ragnar Ache,de GER,"FW,MF",Eint Frankfurt,22-287,1998,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
5,Tyler Adams,us USA,"DF,MF",RB Leipzig,22-086,1999,20.6,27,1.31,23,0,0,0,3,1,3,0.15,2,0,0,0,0,1,0,Matches
6,Sargis Adamyan,am ARM,"FW,MF",Hoffenheim,27-353,1993,3.4,15,4.4,8,1,1,2,3,0,4,1.17,1,0,0,2,1,0,0,Matches
7,Felix Agu,de GER,DF,Werder Bremen,21-226,1999,7.7,6,0.78,4,0,1,0,1,0,1,0.13,1,0,0,0,0,0,0,Matches
8,Naouirou Ahamada,fr FRA,MF,Stuttgart,19-043,2002,2.4,2,0.82,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
9,Manuel Akanji,ch SUI,DF,Dortmund,25-296,1995,24.4,14,0.57,10,1,0,1,1,1,1,0.04,1,0,0,0,0,0,0,Matches
10,Kevin Akpoguma,ng NGA,DF,Hoffenheim,26-022,1995,12.4,5,0.4,4,1,0,0,0,0,1,0.08,1,0,0,0,0,0,0,Matches
11,David Alaba,at AUT,"DF,MF",Bayern Munich,28-321,1992,27.9,44,1.58,40,1,0,2,0,1,4,0.14,3,1,0,0,0,0,0,Matches
12,Lucas Alario,ar ARG,FW,Leverkusen,28-215,1992,13.8,27,1.95,21,0,2,1,3,0,3,0.22,2,0,0,1,0,0,0,Matches
13,Omar Alderete,py PAR,DF,Hertha BSC,24-136,1996,12.4,5,0.4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
14,Nadiem Amiri,de GER,MF,Leverkusen,24-196,1996,20.3,70,3.46,47,13,4,6,0,0,12,0.59,8,1,2,1,0,0,0,Matches
15,Sebastian Andersson,se SWE,FW,Köln,29-300,1991,10.8,12,1.11,7,0,0,3,1,1,3,0.28,1,0,0,1,1,0,0,Matches
16,Robert Andrich,de GER,MF,Union Berlin,26-231,1994,27.1,52,1.92,40,3,4,1,2,2,8,0.3,6,0,0,0,1,1,0,Matches
17,Angeliño,es ESP,"DF,FW",RB Leipzig,24-127,1997,23.5,91,3.87,62,15,6,5,3,0,6,0.26,4,1,1,0,0,0,0,Matches
18,Waldemar Anton,de GER,DF,Stuttgart,24-295,1996,28.1,27,0.96,21,1,0,1,1,3,5,0.18,4,0,0,0,1,0,0,Matches
19,Charles Aránguiz,cl CHI,MF,Leverkusen,32-024,1989,16.6,28,1.69,26,0,0,0,0,2,1,0.06,1,0,0,0,0,0,0,Matches
20,Santiago Arias,co COL,DF,Leverkusen,29-118,1992,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Matches
21,Maximilian Arnold,de GER,MF,Wolfsburg,26-349,1994,26.7,85,3.18,33,35,1,4,8,4,11,0.41,4,4,1,0,2,0,0,Matches
22,Toluwalas Arokodare,ng NGA,FW,Köln,20-169,2000,1.2,1,0.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
23,Santiago Ascacíbar,ar ARG,MF,Hertha BSC,24-075,1997,6.6,9,1.37,7,0,1,1,0,0,1,0.15,0,0,0,1,0,0,0,Matches
24,Ludwig Augustinsson,se SWE,DF,Werder Bremen,27-020,1994,20.7,58,2.8,31,23,0,3,1,0,6,0.29,2,4,0,0,0,0,0,Matches
25,Taiwo Awoniyi,ng NGA,FW,Union Berlin,23-272,1997,14.3,32,2.23,23,0,3,2,3,1,6,0.42,3,0,1,0,2,0,0,Matches
26,Mehmet-Can Aydin,de GER,DF,Schalke 04,19-091,2002,3.8,2,0.52,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
27,Leon Bailey,jm JAM,"FW,MF",Leverkusen,23-275,1997,23.8,98,4.12,56,15,10,7,9,1,14,0.59,7,4,1,1,0,1,0,Matches
